pattern_names
"('item_11.0', 'item_11.0', 'item_11.0', 'item_22.0', 'item_45.0')"
"('item_11.0', 'item_11.0', 'item_31.0', 'item_45.0')"
"('item_11.0', 'item_18.0', 'item_25.0', 'item_31.0', 'item_7.0', 'item_7.0')"
"('item_15.0', 'item_15.0', 'item_15.0', 'item_15.0', 'item_22.0', 'item_7.0', 'item_7.0')"
"('item_15.5', 'item_31.0', 'item_45.0', 'item_7.0')"
"('item_16.0', 'item_16.0', 'item_16.0', 'item_18.0', 'item_31.0')"
"('item_18.0', 'item_18.0', 'item_18.0', 'item_18.0', 'item_18.0')"
"('item_18.0', 'item_18.0', 'item_31.0', 'item_31.0')"
"('item_22.0', 'item_31.0', 'item_45.0')"
"('item_25.0', 'item_25.0', 'item_25.0', 'item_25.0')"
"('item_25.0', 'item_25.0', 'item_45.0')"
"item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_22.0,item_22.0"
"item_11.0,item_11.0,item_11.0,item_22.0,item_22.0,item_22.0"
"item_11.0,item_11.0,item_11.0,item_22.0,item_45.0"
"item_11.0,item_11.0,item_15.5,item_15.5,item_45.0"
"item_11.0,item_18.0,item_18.0,item_50.0"
"item_15.0,item_15.0,item_15.5,item_22.0,item_25.0,item_7.0"
"item_16.0,item_16.0,item_16.0,item_25.0,item_25.0"
"item_22.0,item_25.0,item_31.0,item_7.0,item_7.0,item_7.0"
"item_31.0,item_31.0,item_31.0,item_7.0"
"item_45.0,item_45.0,item_7.0"
"item_45.0,item_50.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_45.0"
"item_11.0,item_11.0,item_15.5,item_15.5,item_15.5,item_15.5,item_15.5"
"item_11.0,item_11.0,item_31.0,item_31.0,item_7.0,item_7.0"
"item_11.0,item_11.0,item_50.0,item_7.0,item_7.0,item_7.0,item_7.0"
"item_11.0,item_16.0,item_16.0,item_25.0,item_25.0,item_7.0"
"item_11.0,item_18.0,item_18.0,item_18.0,item_32.0"
"item_11.0,item_32.0,item_45.0,item_7.0"
"item_15.0,item_15.0,item_15.0,item_16.0,item_31.0,item_7.0"
"item_22.0,item_31.0,item_45.0"
"item_25.0,item_25.0,item_50.0"
"item_50.0,item_50.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_50.0"
"item_11.0,item_11.0,item_11.0,item_16.0,item_50.0"
"item_11.0,item_11.0,item_31.0,item_45.0"
"item_15.0,item_15.0,item_15.5,item_15.5,item_25.0,item_7.0,item_7.0"
"item_15.0,item_25.0,item_25.0,item_31.0"
"item_15.5,item_15.5,item_15.5,item_15.5,item_15.5,item_22.0"
"item_16.0,item_32.0,item_45.0,item_7.0"
"item_18.0,item_18.0,item_18.0,item_18.0,item_18.0"
"item_22.0,item_22.0,item_22.0,item_31.0"
"item_22.0,item_25.0,item_45.0,item_7.0"
"item_25.0,item_25.0,item_45.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_12.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_16.0,item_16.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_12.0,item_31.0,item_7.0"
"item_11.0,item_15.5,item_15.5,item_15.5,item_15.5,item_15.5,item_7.0"
"item_11.0,item_18.0,item_25.0,item_45.0"
"item_12.0,item_12.0,item_12.0,item_32.0,item_32.0"
"item_12.0,item_15.5,item_15.5,item_15.5,item_15.5,item_15.5,item_7.0"
"item_12.0,item_32.0,item_50.0"
"item_15.5,item_22.0,item_31.0,item_31.0"
"item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_18.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_15.0,item_16.0"
"item_11.0,item_11.0,item_11.0,item_12.0,item_50.0"
"item_11.0,item_11.0,item_11.0,item_15.0,item_50.0"
"item_11.0,item_11.0,item_11.0,item_16.0,item_18.0,item_32.0"
"item_12.0,item_12.0,item_31.0,item_45.0"
"item_15.0,item_15.0,item_15.0,item_45.0"
"item_15.0,item_22.0,item_31.0,item_31.0"
"item_15.5,item_15.5,item_15.5,item_15.5,item_18.0,item_18.0"
"item_15.5,item_15.5,item_15.5,item_31.0,item_7.0,item_7.0,item_7.0"
"item_15.5,item_15.5,item_18.0,item_45.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_31.0,item_7.0,item_7.0,item_7.0"
"item_11.0,item_11.0,item_25.0,item_50.0"
"item_11.0,item_12.0,item_12.0,item_18.0,item_45.0"
"item_11.0,item_12.0,item_32.0,item_45.0"
"item_11.0,item_15.5,item_22.0,item_50.0"
"item_15.0,item_16.0,item_31.0,item_31.0,item_7.0"
"item_15.5,item_18.0,item_18.0,item_45.0"
"item_22.0,item_22.0,item_25.0,item_25.0"
"item_22.0,item_22.0,item_50.0"
"item_25.0,item_25.0,item_25.0,item_25.0"
"item_12.0,item_12.0,item_25.0,item_45.0"
"item_15.0,item_15.5,item_22.0,item_45.0"
"item_15.0,item_16.0,item_16.0,item_32.0,item_7.0,item_7.0,item_7.0"
"item_15.0,item_18.0,item_18.0,item_18.0,item_18.0"
"item_15.0,item_32.0,item_50.0"
"item_15.5,item_15.5,item_15.5,item_15.5,item_15.5,item_15.5"
"item_15.5,item_15.5,item_15.5,item_15.5,item_7.0,item_7.0,item_7.0,item_7.0,item_7.0"
"item_15.5,item_15.5,item_31.0,item_32.0"
"item_18.0,item_18.0,item_31.0,item_31.0"
"item_32.0,item_32.0,item_32.0"
"item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_11.0,item_7.0,item_7.0,item_7.0"
"item_11.0,item_15.0,item_22.0,item_50.0"
"item_11.0,item_15.5,item_31.0,item_32.0,item_7.0"
"item_12.0,item_12.0,item_12.0,item_12.0,item_15.5,item_15.5,item_15.5"
"item_12.0,item_12.0,item_45.0,item_7.0,item_7.0,item_7.0,item_7.0"
"item_12.0,item_15.5,item_22.0,item_50.0"
"item_15.0,item_15.0,item_15.0,item_15.0,item_15.0,item_15.0,item_7.0"
"item_15.5,item_15.5,item_15.5,item_50.0"
"item_16.0,item_22.0,item_31.0,item_31.0"
"item_11.0,item_16.0,item_25.0,item_45.0"
"item_12.0,item_12.0,item_12.0,item_31.0,item_31.0"
"item_15.0,item_22.0,item_25.0,item_31.0,item_7.0"
